Gender,forearm center of grip length,elbow wrist length,hand breadth,hand circumference,thumbbreadth estimated,radial estylion length,wrist circumference,forearm circumference flexed,forearm taper diff
Female,322,585,83,195,23٫24,242,163,283,120
Female,322,588,78,178,21٫84,242,146,235,89
Female,322,589,74,182,20٫72,244,159,282,123
Female,322,589,75,178,21,258,156,250,94
Female,322,589,78,190,21٫84,248,148,243,95
Female,322,590,77,181,21٫56,250,162,279,117
Female,322,591,75,180,21,246,148,237,89
Female,322,592,83,192,23٫24,252,158,268,110
Female,322,593,77,189,21٫56,253,159,258,99
Female,322,593,79,183,22٫12,256,151,263,112
Female,322,593,79,187,22٫12,242,156,285,129
Female,322,593,79,195,22٫12,248,168,280,112
Female,322,595,78,193,21٫84,257,165,286,121
Female,322,598,75,185,21,248,158,260,102
Female,322,598,77,181,21٫56,248,161,268,107
Female,322,599,79,188,22٫12,255,158,267,109
Female,322,599,81,197,22٫68,245,165,271,106
Female,322,602,77,183,21٫56,255,148,255,107
Female,322,602,77,183,21٫56,256,151,246,95
Female,323,550,80,186,22٫4,246,164,291,127
Female,323,561,83,195,23٫24,233,160,285,125
Female,323,563,79,188,22٫12,243,154,260,106
Female,323,567,81,192,22٫68,240,150,277,127
Female,323,572,77,175,21٫56,247,149,258,109
Female,323,573,79,183,22٫12,243,160,266,106
Female,323,573,80,190,22٫4,236,163,262,99
Female,323,575,80,197,22٫4,240,162,291,129
Female,323,576,75,178,21,244,143,260,117
Female,323,578,80,193,22٫4,245,157,264,107
Female,323,580,75,181,21,240,156,273,117
Female,323,582,77,188,21٫56,247,152,256,104
Female,323,582,80,187,22٫4,240,163,264,101
Female,323,582,80,199,22٫4,245,157,268,111
Female,323,583,79,187,22٫12,242,157,276,119
Female,323,584,80,192,22٫4,242,162,258,96
Female,323,585,78,186,21٫84,243,158,255,97
Female,323,585,80,193,22٫4,247,157,270,113
Female,323,586,80,191,22٫4,255,153,258,105
Female,323,587,77,180,21٫56,246,161,260,99
Female,323,588,78,188,21٫84,243,155,256,101
Female,323,592,83,196,23٫24,240,155,248,93
Female,323,600,80,191,22٫4,247,157,261,104
Female,323,601,80,189,22٫4,261,158,248,90
Female,323,605,79,185,22٫12,245,146,249,103
Female,324,555,76,187,21٫28,227,154,251,97
Female,324,569,79,189,22٫12,243,152,263,111
Female,324,571,80,187,22٫4,255,161,283,122
Female,324,574,78,182,21٫84,238,151,264,113
Female,324,574,79,186,22٫12,241,149,249,100
Female,324,576,78,179,21٫84,246,156,265,109
Female,324,577,80,194,22٫4,243,159,265,106
Female,324,578,77,185,21٫56,249,150,263,113
Female,324,579,75,181,21,249,150,259,109
Female,324,579,78,189,21٫84,245,151,266,115
Female,324,579,78,193,21٫84,235,150,248,98
Female,324,580,76,186,21٫28,238,162,255,93
Female,324,581,76,188,21٫28,243,157,271,114
Female,324,582,77,178,21٫56,247,155,267,112
Female,324,583,79,192,22٫12,234,160,280,120
Female,324,585,79,183,22٫12,234,157,275,118
Female,324,586,78,183,21٫84,238,159,259,100
Female,324,587,77,193,21٫56,248,154,250,96
Female,324,588,78,186,21٫84,248,153,260,107
Female,324,588,80,190,22٫4,244,157,271,114
Female,324,590,81,192,22٫68,242,148,258,110
Female,324,592,80,190,22٫4,249,150,277,127
Female,324,592,81,190,22٫68,245,156,260,104
Female,324,594,80,190,22٫4,258,154,262,108
Female,324,595,79,187,22٫12,245,164,258,94
Female,324,595,82,195,22٫96,246,164,277,113
Female,324,597,76,177,21٫28,244,147,252,105
Female,324,598,78,187,21٫84,250,156,245,89
Female,324,601,85,201,23٫8,245,152,275,123
Female,324,604,81,196,22٫68,249,164,262,98
Female,324,611,82,196,22٫96,253,162,260,98
Female,325,551,77,189,21٫56,232,160,255,95
Female,325,568,77,183,21٫56,242,150,264,114
Female,325,571,84,195,23٫52,247,154,261,107
Female,325,573,80,190,22٫4,243,159,274,115
Female,325,577,78,192,21٫84,257,159,271,112
Female,325,577,83,196,23٫24,237,167,270,103
Female,325,579,77,179,21٫56,239,160,264,104
Female,325,580,79,182,22٫12,249,157,265,108
Female,325,580,79,188,22٫12,238,160,267,107
Female,325,581,77,186,21٫56,245,153,248,95
Female,325,581,81,192,22٫68,241,156,272,116
Female,325,581,83,197,23٫24,239,154,251,97
Female,325,582,81,193,22٫68,246,164,262,98
Female,325,583,75,179,21,243,150,243,93
Female,325,583,79,189,22٫12,240,165,267,102
Female,325,584,80,187,22٫4,240,162,289,127
Female,325,586,77,182,21٫56,253,151,245,94
Female,325,586,80,190,22٫4,248,163,260,97
Female,325,586,80,192,22٫4,249,158,263,105
Female,325,586,80,196,22٫4,249,161,272,111
Female,325,588,78,189,21٫84,241,158,252,94
Female,325,589,75,183,21,245,151,268,117
Female,325,590,80,187,22٫4,255,152,272,120
Female,325,590,83,195,23٫24,251,157,263,106
Female,325,591,79,186,22٫12,250,163,260,97
Female,325,592,80,194,22٫4,242,168,292,124
Female,325,593,74,182,20٫72,250,147,248,101
Female,325,593,75,182,21,239,150,261,111
Female,325,596,82,190,22٫96,247,156,268,112
Female,325,596,84,195,23٫52,251,160,249,89
Female,325,597,78,184,21٫84,251,164,272,108
Female,325,599,84,200,23٫52,260,163,266,103
Female,325,601,77,194,21٫56,254,153,272,119
Female,325,605,81,190,22٫68,247,163,273,110
Female,325,605,83,195,23٫24,258,157,260,103
Female,325,607,79,188,22٫12,249,158,256,98
Female,325,608,78,185,21٫84,252,153,278,125
Female,325,608,79,187,22٫12,246,152,248,96
Female,325,609,80,192,22٫4,254,149,255,106
Female,325,611,78,188,21٫84,256,164,266,102
Female,325,616,77,187,21٫56,248,154,258,104
Female,326,562,78,190,21٫84,232,164,284,120
Female,326,562,78,190,21٫84,246,160,284,124
Female,326,568,77,191,21٫56,245,168,292,124
Female,326,582,77,186,21٫56,245,150,279,129
Female,326,582,77,187,21٫56,253,154,274,120
Female,326,584,72,178,20٫16,248,149,251,102
Female,326,584,78,194,21٫84,234,160,266,106
Female,326,587,77,179,21٫56,242,151,265,114
Female,326,588,77,188,21٫56,248,152,251,99
Female,326,589,81,190,22٫68,256,160,271,111
Female,326,590,76,183,21٫28,246,153,263,110
Female,326,592,83,198,23٫24,248,162,280,118
Female,326,595,80,200,22٫4,247,157,269,112
Female,326,596,80,188,22٫4,244,163,277,114
Female,326,597,79,188,22٫12,258,150,255,105
Female,326,598,75,181,21,244,158,249,91
Female,326,599,78,178,21٫84,253,150,272,122
Female,326,600,78,177,21٫84,246,148,247,99
Female,326,600,78,188,21٫84,244,162,286,124
Female,326,606,83,198,23٫24,257,158,265,107
Female,326,608,80,197,22٫4,260,165,289,124
Female,326,617,75,176,21,256,151,282,131
Female,327,562,78,180,21٫84,245,151,252,101
Female,327,565,80,193,22٫4,241,155,267,112
Female,327,571,83,193,23٫24,246,159,259,100
Female,327,573,74,177,20٫72,234,152,250,98
Female,327,574,75,178,21,245,149,250,101
Female,327,577,83,191,23٫24,243,156,264,108
Female,327,580,82,192,22٫96,246,154,250,96
Female,327,583,75,173,21,239,151,248,97
Female,327,588,79,191,22٫12,248,156,270,114
Female,327,590,81,184,22٫68,252,151,268,117
Female,327,592,82,193,22٫96,251,150,252,102
Female,327,594,79,189,22٫12,254,158,251,93
Female,327,599,81,192,22٫68,252,152,247,95
Female,327,600,78,193,21٫84,261,154,255,101
Female,327,605,75,180,21,254,147,261,114
Female,327,607,81,194,22٫68,249,165,284,119
Female,327,613,76,188,21٫28,257,158,267,109
Female,328,563,81,193,22٫68,243,165,279,114
Female,328,565,79,187,22٫12,239,155,261,106
Female,328,568,80,187,22٫4,240,154,280,126
Female,328,571,80,190,22٫4,247,154,259,105
Female,328,572,78,187,21٫84,233,160,269,109
Female,328,578,74,182,20٫72,246,153,277,124
Female,328,578,78,187,21٫84,252,153,258,105
Female,328,580,74,176,20٫72,246,158,260,102
Female,328,581,78,186,21٫84,250,150,262,112
Female,328,581,79,189,22٫12,248,162,284,122
Female,328,584,79,187,22٫12,254,153,263,110
Female,328,584,83,195,23٫24,235,166,280,114
Female,328,585,77,192,21٫56,246,158,277,119
Female,328,585,83,194,23٫24,257,156,269,113
Female,328,588,80,197,22٫4,249,162,273,111
Female,328,589,81,193,22٫68,243,160,287,127
Female,328,590,80,189,22٫4,245,150,264,114
Female,328,590,81,195,22٫68,254,154,248,94
Female,328,591,81,197,22٫68,237,162,262,100
Female,328,596,79,190,22٫12,243,150,240,90
Female,328,596,83,199,23٫24,252,162,273,111
Female,328,598,78,185,21٫84,249,161,277,116
Female,328,601,84,198,23٫52,248,162,260,98
Female,328,601,85,197,23٫8,247,162,267,105
Female,328,610,78,186,21٫84,255,156,266,110
Female,328,618,74,183,20٫72,268,163,283,120
Female,329,574,83,202,23٫24,252,163,281,118
Female,329,575,74,187,20٫72,242,162,280,118
Female,329,578,82,192,22٫96,245,162,264,102
Female,329,579,78,187,21٫84,247,160,290,130
Female,329,581,82,187,22٫96,253,159,265,106
Female,329,582,75,188,21,255,148,246,98
Female,329,583,81,193,22٫68,239,158,267,109
Female,329,584,74,184,20٫72,249,150,280,130
Female,329,590,74,180,20٫72,249,151,267,116
Female,329,590,82,198,22٫96,253,158,284,126
Female,329,593,80,192,22٫4,251,158,257,99
Female,329,598,84,196,23٫52,257,162,272,110
Female,329,599,81,187,22٫68,254,155,251,96
Female,329,599,82,194,22٫96,247,166,284,118
Female,329,602,79,183,22٫12,250,152,252,100
Female,329,603,78,187,21٫84,251,162,288,126
Female,329,608,75,182,21,250,145,248,103
Female,329,610,84,201,23٫52,256,153,272,119
Female,329,611,77,192,21٫56,254,160,285,125
Female,329,611,81,193,22٫68,268,162,273,111
Female,329,613,75,176,21,266,143,248,105
Female,329,624,78,185,21٫84,250,157,273,116
Female,330,564,74,177,20٫72,242,145,267,122
Female,330,564,80,187,22٫4,234,162,262,100
Female,330,565,76,184,21٫28,242,160,270,110
Female,330,566,75,180,21,244,153,245,92
Female,330,573,83,197,23٫24,244,164,272,108
Female,330,580,81,189,22٫68,253,154,271,117
Female,330,583,76,187,21٫28,245,154,267,113
Female,330,585,77,183,21٫56,249,152,260,108
Female,330,585,78,193,21٫84,251,153,256,103
Female,330,585,80,193,22٫4,242,162,282,120
Female,330,590,80,186,22٫4,242,154,247,93
Female,330,590,83,193,23٫24,246,164,274,110
Female,330,591,75,177,21,250,149,247,98
Female,330,594,79,187,22٫12,246,153,260,107
Female,330,597,77,187,21٫56,249,148,246,98
Female,330,601,78,187,21٫84,250,159,260,101
Female,330,604,72,182,20٫16,252,150,247,97
Female,330,604,77,185,21٫56,241,154,257,103
Female,330,604,78,189,21٫84,250,156,260,104
Female,330,605,78,193,21٫84,245,156,258,102
Female,330,608,81,190,22٫68,257,160,284,124
Female,330,609,79,190,22٫12,253,156,268,112
Female,330,611,76,184,21٫28,251,152,264,112
Female,330,611,85,196,23٫8,259,153,266,113
Female,330,615,79,187,22٫12,254,154,275,121
Female,330,615,80,187,22٫4,259,161,265,104
Female,330,624,80,184,22٫4,259,146,238,92
Female,330,625,76,185,21٫28,262,150,272,122
Female,331,560,81,187,22٫68,241,150,262,112
Female,331,565,83,194,23٫24,243,160,279,119
Female,331,566,79,195,22٫12,239,162,273,111
Female,331,571,82,191,22٫96,238,154,263,109
Female,331,572,80,178,22٫4,250,153,262,109
Female,331,573,81,187,22٫68,255,155,280,125
Female,331,583,77,188,21٫56,243,150,280,130
Female,331,588,75,189,21,256,161,287,126
Female,331,590,80,189,22٫4,255,155,254,99
Female,331,592,79,188,22٫12,244,157,286,129
Female,331,594,78,187,21٫84,252,159,271,112
Female,331,595,78,187,21٫84,251,154,286,132
Female,331,596,77,185,21٫56,254,147,241,94
Female,331,597,77,187,21٫56,249,149,252,103
Female,331,600,76,187,21٫28,250,155,284,129
Female,331,603,84,197,23٫52,260,155,274,119
Female,331,605,80,192,22٫4,255,160,266,106
Female,331,605,81,187,22٫68,250,153,254,101
Female,331,605,85,198,23٫8,267,164,293,129
Female,331,607,80,187,22٫4,246,154,275,121
Female,331,610,82,189,22٫96,252,158,273,115
Female,331,613,82,193,22٫96,258,163,296,133
Female,331,617,80,190,22٫4,259,165,283,118
Female,332,566,78,186,21٫84,245,149,255,106
Female,332,572,81,187,22٫68,247,162,275,113
Female,332,582,82,202,22٫96,247,159,273,114
Female,332,589,78,183,21٫84,256,147,240,93
Female,332,590,79,185,22٫12,245,151,277,126
Female,332,594,75,177,21,248,155,251,96
Female,332,595,82,197,22٫96,261,151,266,115
Female,332,596,83,191,23٫24,247,159,286,127
Female,332,597,78,189,21٫84,264,167,296,129
Female,332,601,80,187,22٫4,268,155,269,114
Female,332,604,77,185,21٫56,257,145,250,105
Female,332,608,84,191,23٫52,254,163,262,99
Female,332,609,76,194,21٫28,252,162,269,107
Female,332,609,78,184,21٫84,259,159,279,120
Female,332,611,74,182,20٫72,254,151,264,113
Female,332,626,77,193,21٫56,262,148,278,130
Female,333,578,80,187,22٫4,262,153,256,103
Female,333,579,81,197,22٫68,251,158,269,111
Female,333,581,79,191,22٫12,244,162,273,111
Female,333,584,78,182,21٫84,246,147,238,91
Female,333,590,82,201,22٫96,256,162,288,126
Female,333,592,80,189,22٫4,253,153,247,94
Female,333,595,77,190,21٫56,251,165,290,125
Female,333,601,76,182,21٫28,255,155,267,112
Female,333,601,79,186,22٫12,254,151,247,96
Female,333,602,81,193,22٫68,253,156,278,122
Female,333,607,77,194,21٫56,248,157,271,114
Female,333,609,77,180,21٫56,252,149,241,92
Female,333,610,84,195,23٫52,260,162,274,112
Female,333,612,74,182,20٫72,254,158,277,119
Female,333,616,78,184,21٫84,265,150,259,109
Female,333,616,82,193,22٫96,258,153,246,93
Female,333,617,80,193,22٫4,255,161,279,118
Female,333,620,80,200,22٫4,261,157,278,121
Female,333,622,84,202,23٫52,268,165,272,107
Female,334,572,77,178,21٫56,238,150,252,102
Female,334,577,73,173,20٫44,245,148,254,106
Female,334,586,75,179,21,252,158,267,109
Female,334,588,80,189,22٫4,259,147,251,104
Female,334,589,78,190,21٫84,243,164,272,108
Female,334,595,77,187,21٫56,253,162,292,130
Female,334,596,81,190,22٫68,262,157,277,120
Female,334,596,84,198,23٫52,254,163,274,111
Female,334,597,74,191,20٫72,251,152,264,112
Female,334,599,75,183,21,260,166,271,105
Female,334,606,80,194,22٫4,252,153,263,110
Female,334,607,79,190,22٫12,250,164,260,96
Female,334,609,80,197,22٫4,262,161,282,121
Female,334,610,78,188,21٫84,260,148,258,110
Female,335,576,84,202,23٫52,261,164,262,98
Female,335,584,83,200,23٫24,244,156,270,114
Female,335,587,82,194,22٫96,245,154,278,124
Female,335,589,78,189,21٫84,248,157,282,125
Female,335,589,79,194,22٫12,259,161,284,123
Female,335,590,84,195,23٫52,248,163,288,125
Female,335,595,84,195,23٫52,261,155,253,98
Female,335,598,78,189,21٫84,260,154,246,92
Female,335,600,81,187,22٫68,241,155,271,116
Female,335,601,77,188,21٫56,251,154,267,113
Female,335,601,80,188,22٫4,245,165,287,122
Female,335,604,73,179,20٫44,259,149,252,103
Female,335,606,80,195,22٫4,261,160,259,99
Female,335,611,84,200,23٫52,259,157,290,133
Female,335,613,76,182,21٫28,249,148,255,107
Female,335,613,77,189,21٫56,256,149,262,113
Female,335,615,77,190,21٫56,260,160,294,134
Female,335,615,80,196,22٫4,261,167,274,107
Female,335,616,78,190,21٫84,260,150,261,111
Female,335,619,80,194,22٫4,258,165,276,111
Female,336,568,79,189,22٫12,244,151,257,106
Female,336,581,83,193,23٫24,253,157,268,111
Female,336,582,77,188,21٫56,243,155,273,118
Female,336,582,82,197,22٫96,262,167,290,123
Female,336,585,82,193,22٫96,257,165,266,101
Female,336,589,81,193,22٫68,244,152,262,110
Female,336,601,74,177,20٫72,258,148,242,94
Female,336,601,78,187,21٫84,258,149,247,98
Female,336,601,78,187,21٫84,263,150,249,99
Female,336,601,79,189,22٫12,265,153,252,99
Female,336,601,80,191,22٫4,257,156,280,124
Female,336,603,80,183,22٫4,252,153,252,99
Female,336,605,78,196,21٫84,258,154,258,104
Female,336,605,82,192,22٫96,255,157,271,114
Female,336,606,79,181,22٫12,255,150,260,110
Female,336,610,85,198,23٫8,258,160,267,107
Female,336,618,77,185,21٫56,265,155,272,117
Female,337,569,76,190,21٫28,246,160,268,108
Female,337,579,74,181,20٫72,255,156,276,120
Female,337,582,79,187,22٫12,246,158,292,134
Female,337,588,79,183,22٫12,254,154,252,98
Female,337,595,81,194,22٫68,257,151,256,105
Female,337,608,76,183,21٫28,250,154,266,112
Female,337,610,78,187,21٫84,252,155,245,90
Female,337,612,81,188,22٫68,254,157,265,108
Female,337,615,79,189,22٫12,252,153,261,108
Female,337,616,82,197,22٫96,255,165,287,122
Female,338,579,76,178,21٫28,249,150,279,129
Female,338,590,74,182,20٫72,256,154,287,133
Female,338,592,81,193,22٫68,259,167,296,129
Female,338,597,82,192,22٫96,259,159,288,129
Female,338,599,80,183,22٫4,251,155,271,116
Female,338,601,83,198,23٫24,254,160,288,128
Female,338,602,76,188,21٫28,262,164,291,127
Female,338,604,82,195,22٫96,262,165,270,105
Female,338,611,80,193,22٫4,262,153,283,130
Female,338,611,84,190,23٫52,265,156,275,119
Female,338,613,80,193,22٫4,264,162,278,116
Female,338,617,82,194,22٫96,251,160,273,113
Female,338,620,78,187,21٫84,257,165,270,105
Female,338,622,83,197,23٫24,264,163,293,130
Female,339,571,78,183,21٫84,242,152,260,108
Female,339,581,77,191,21٫56,257,154,263,109
Female,339,595,78,188,21٫84,243,158,261,103
Female,339,597,81,200,22٫68,247,161,280,119
Female,339,598,78,192,21٫84,251,160,260,100
Female,339,598,79,185,22٫12,255,156,274,118
Female,339,606,83,192,23٫24,254,161,276,115
Female,339,607,79,188,22٫12,252,160,273,113
Female,339,608,78,187,21٫84,260,151,265,114
Female,339,612,82,187,22٫96,262,161,271,110
Female,339,615,84,201,23٫52,260,158,267,109
Female,339,622,84,197,23٫52,254,165,288,123
Female,339,624,83,192,23٫24,260,162,261,99
Female,340,584,80,190,22٫4,246,162,254,92
Female,340,586,80,188,22٫4,258,155,274,119
Female,340,589,79,190,22٫12,259,152,257,105
Female,340,590,79,186,22٫12,257,158,279,121
Female,340,593,80,195,22٫4,251,165,272,107
Female,340,603,79,185,22٫12,252,167,270,103
Female,340,603,81,193,22٫68,261,160,271,111
Female,340,609,77,186,21٫56,264,153,279,126
Female,340,611,83,191,23٫24,264,165,269,104
Female,340,616,76,183,21٫28,258,160,256,96
Female,340,616,82,193,22٫96,264,166,276,110
Female,340,622,76,182,21٫28,254,156,272,116
Female,340,623,80,187,22٫4,255,158,277,119
Female,340,626,82,197,22٫96,264,161,266,105
Female,341,585,80,197,22٫4,250,166,274,108
Female,341,590,75,184,21,251,152,257,105
Female,341,594,81,198,22٫68,261,159,282,123
Female,341,595,82,198,22٫96,259,167,295,128
Female,341,599,79,184,22٫12,254,155,255,100
Female,341,605,78,187,21٫84,259,155,247,92
Female,341,609,74,176,20٫72,262,147,236,89
Female,341,611,78,187,21٫84,256,153,256,103
Female,341,615,82,192,22٫96,265,162,285,123
Female,341,618,79,193,22٫12,262,152,254,102
Female,341,621,80,192,22٫4,257,167,267,100
Female,341,625,78,191,21٫84,266,158,273,115
Female,342,592,80,191,22٫4,254,160,263,103
Female,342,598,80,188,22٫4,252,159,280,121
Female,342,599,75,183,21,255,156,252,96
Female,342,604,80,197,22٫4,253,164,266,102
Female,342,624,78,184,21٫84,266,154,245,91
Female,343,590,82,195,22٫96,249,147,245,98
Female,343,600,76,188,21٫28,254,159,252,93
Female,343,602,80,197,22٫4,267,161,275,114
Female,343,609,85,197,23٫8,253,161,281,120
Female,343,620,84,198,23٫52,258,162,262,100
Female,344,586,84,198,23٫52,254,165,280,115
Female,344,593,80,186,22٫4,256,157,287,130
Female,344,600,75,183,21,255,144,244,100
Female,344,603,85,198,23٫8,254,155,277,122
Female,344,621,80,195,22٫4,258,163,280,117
Female,344,621,81,196,22٫68,264,165,280,115
Female,344,623,83,201,23٫24,261,164,271,107
Female,345,599,81,192,22٫68,259,166,270,104
Female,345,606,75,178,21,252,149,270,121
Female,345,619,79,193,22٫12,259,157,281,124
Female,345,619,81,190,22٫68,267,156,283,127
Female,346,594,80,197,22٫4,258,157,270,113
Female,346,608,76,190,21٫28,264,164,282,118
Female,346,615,80,192,22٫4,265,157,257,100
Female,346,618,79,195,22٫12,267,154,256,102
Female,346,618,80,189,22٫4,263,162,255,93
Female,346,622,82,197,22٫96,265,163,270,107
Female,346,625,80,193,22٫4,261,164,281,117
Female,347,602,81,191,22٫68,264,162,276,114
Female,347,613,85,198,23٫8,268,158,266,108
Female,347,618,74,184,20٫72,261,154,261,107
Female,347,622,76,190,21٫28,261,162,285,123
Female,348,594,78,179,21٫84,250,159,262,103
Female,348,604,80,190,22٫4,267,164,292,128
Female,348,617,80,191,22٫4,266,166,273,107
Female,348,618,83,200,23٫24,261,168,278,110
Female,348,620,85,196,23٫8,258,160,269,109
Female,349,607,79,192,22٫12,262,157,263,106
Female,349,613,83,194,23٫24,267,162,272,110
Female,349,614,81,189,22٫68,263,153,275,122
Female,350,606,83,197,23٫24,268,162,279,117
Female,350,624,82,197,22٫96,267,156,279,123
Female,350,627,76,185,21٫28,265,152,250,98